hash,date,bug,review,lines_added,lines_removed,num_revisions,time_uploaded,time_pushed,is_unittested,is_unittest_only,num_msg,time_plus2,num_unresolved_comments,category,is_buggy,researcher1,researcher2
e20eb915eb1d9777bbcdcffb324ce92014cafa79,2018-02-21,crbug.com/808495,https://chromium-review.googlesource.com/929652,59,16,1,2018-02-21 20:50:26,2018-03-06 02:37:08,,,17,2018-03-05 22:00:50,1,,,,
dda79e2d9b306c408172d8aacb2ff3459e3bac6a,2018-06-28,crbug.com/794404,https://chromium-review.googlesource.com/1119573,44,47,5,2018-06-29 01:06:31,2018-07-10 01:00:15,1,0,29,2018-07-03 18:00:23,2,,,,
5192fe54e9ea90c3831a4beb799b8f19a9d061d0,2017-08-28,crbug.com/762815,https://chromium-review.googlesource.com/674163,19,0,4,2017-09-20 00:24:18,2017-10-05 01:47:54,,,25,2017-10-03 22:11:31,1,,,,
a86b108fc604d296edbd3f6c158a17175ef6f9fe,2018-03-08,crbug.com/820243,https://chromium-review.googlesource.com/955679,29,8,2,2018-03-08 23:55:45,2018-03-23 21:56:12,,,12,2018-03-23 03:03:26,0,,,,
cdeb6e60ad4837afff97a370b6ea39dc98146a36,2017-10-11,crbug.com/768461,https://chromium-review.googlesource.com/713540,45,35,9,2017-10-11 22:00:01,2017-11-01 00:35:05,,,27,2017-10-31 19:50:52,0,,,,
5a0a82c9aa2148a79b1909cec31a6649c2dfd99f,2018-07-16,crbug.com/858621,https://chromium-review.googlesource.com/1138983,392,0,16,2018-07-16 21:41:07,2018-08-07 08:59:44,,,44,2018-08-06 07:01:39,1,,,,
667cf7b5b3d02cb38b786760c6c1764dfc758b85,2018-07-25,crbug.com/807976,https://chromium-review.googlesource.com/1150737,45,81,5,2018-07-25 21:41:31,2018-07-31 23:43:07,,,21,2018-07-30 18:15:30,0,,,,
77d7cbcef1ca1afd36720ec7ec74039b5445101e,2018-02-07,crbug.com/810184,https://chromium-review.googlesource.com/907223,27,12,2,2018-02-08 00:43:15,2018-02-09 07:50:05,,,15,2018-02-08 21:33:16,0,,,,
baacb98b3031ebcbd81a788bf5bf054c69353320,2018-02-20,crbug.com/814090,https://chromium-review.googlesource.com/927827,74,1,9,2018-02-21 02:24:20,2018-04-03 19:51:24,,,37,2018-03-29 17:02:32,8,,,,
d4bc462dc64e6ca07958e84a1ebca5ff97dbea4b,2018-08-30,crbug.com/878736,https://chromium-review.googlesource.com/1198533,24,22,1,2018-08-31 09:38:36,2018-08-31 22:11:00,,,9,2018-08-31 18:16:44,0,,,,
abe4a775df7e9b7b8f09094988f6f1b42acc05a3,2018-07-26,crbug.com/867815,https://chromium-review.googlesource.com/1151902,9,30,3,2018-07-26 18:46:30,2018-07-27 19:15:30,,,27,2018-07-26 20:32:19,0,,,,
ba51c3f54c88170d562c6e3af3f4820ee47aeb68,2018-04-25,crbug.com/814830,https://chromium-review.googlesource.com/932123,255,43,23,2018-02-22 18:34:21,2018-05-10 22:16:31,,,72,2018-05-09 18:00:33,2,,,,
